Match Date,Team..1,Team..2,Winner,Margin,Ground
16-Apr-22,Oman,P.N.G.,Oman,85 runs,Dubai (DSC)
28-May-22,U.S.A.,Scotland,U.S.A.,104 runs,Pearland
29-May-22,U.S.A.,Scotland,Scotland,111 runs,Pearland
31-May-22,Netherlands,West Indies,West Indies,7 wickets,Amstelveen
31-May-22,Scotland,U.A.E.,Scotland,4 wickets,Pearland
01-Jun-22,U.S.A.,U.A.E.,U.S.A.,4 wickets,Pearland
02-Jun-22,Netherlands,West Indies,West Indies,5 wickets,Amstelveen
03-Jun-22,Scotland,U.A.E.,U.A.E.,5 wickets,Pearland
04-Jun-22,Zimbabwe,Afghanistan,Afghanistan,60 runs,Harare
04-Jun-22,Netherlands,West Indies,West Indies,20 runs,Amstelveen
04-Jun-22,U.S.A.,U.A.E.,U.A.E.,8 wickets,Pearland
06-Jun-22,Zimbabwe,Afghanistan,Afghanistan,8 wickets,Harare
08-Jun-22,Pakistan,West Indies,Pakistan,5 wickets,Multan
08-Jun-22,U.S.A.,Oman,U.S.A.,114 runs,Pearland
09-Jun-22,Zimbabwe,Afghanistan,Afghanistan,4 wickets,Harare
09-Jun-22,Nepal,Oman,Oman,13 runs,Pearland
10-Jun-22,Pakistan,West Indies,Pakistan,120 runs,Multan
11-Jun-22,U.S.A.,Nepal,tied,-,Pearland
12-Jun-22,Pakistan,West Indies,Pakistan,53 runs,Multan
12-Jun-22,U.S.A.,Oman,Oman,13 runs,Pearland
14-Jun-22,Sri Lanka,Australia,Australia,2 wickets,Pallekele
14-Jun-22,Nepal,Oman,Nepal,7 wickets,Pearland
15-Jun-22,U.S.A.,Nepal,U.S.A.,39 runs,Pearland
16-Jun-22,Sri Lanka,Australia,Sri Lanka,26 runs,Pallekele
17-Jun-22,Netherlands,England,England,232 runs,Amstelveen
19-Jun-22,Netherlands,England,England,6 wickets,Amstelveen
19-Jun-22,Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (RPS)
21-Jun-22,Sri Lanka,Australia,Sri Lanka,4 runs,Colombo (RPS)
22-Jun-22,Netherlands,England,England,8 wickets,Amstelveen
